"","oro_type","year","y","component","variable_name"
"372","CDR-BioPump",2012,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"373","CDR-BioPump",2013,9,"Non-binding policy
(N documents)","Non-binding policy (N)"
"374","CDR-BioPump",2014,9,"Non-binding policy
(N documents)","Non-binding policy (N)"
"375","CDR-BioPump",2015,15,"Non-binding policy
(N documents)","Non-binding policy (N)"
"376","CDR-BioPump",2016,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"377","CDR-BioPump",2017,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"378","CDR-BioPump",2018,8,"Non-binding policy
(N documents)","Non-binding policy (N)"
"379","CDR-BioPump",2019,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"380","CDR-BioPump",2020,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"381","CDR-BioPump",2021,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"382","CDR-BioPump",2022,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"383","CDR-BioPump",2023,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"384","CDR-Cult",1982,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"385","CDR-Cult",1991,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"386","CDR-Cult",1998,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"387","CDR-Cult",1999,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"388","CDR-Cult",2001,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
